brand,title,accords,gender,age,secondary notes
WIDIAN,Gold II Sahara WIDIAN for women and men,"balsamic,vanilla,woody,musky,white floral,",unisex,older_twenty_five,"dairy,powdery,coconut,grass,nut"
Herve-Gambs-Paris,Rouge Cardinal Herve Gambs Paris for women and men,"balsamic,warm spicy,aromatic,patchouli,smoky,",unisex,older_twenty_five,"phenolic,chemical,leather,vanilla,medicinal"
DSH-Perfumes,Megaleion DSH Perfumes for women and men,"balsamic,warm spicy,aromatic,smoky,herbal,earthy",unisex,older_twenty_five,"phenolic,musk,chemical,leather,apple"
Illuminum,Black Musk Illuminum for women and men,"balsamic,warm spicy,powdery,patchouli,musky",unisex,older_twenty_five,"vanilla,dry,musk,berry,almond"
Stephanie-de-Bruijn-Parfum-sur-Mesure,Paris – Bombay Stephanie de Bruijn - Parfum sur Mesure for women and men,"balsamic,woody,amber,powdery,warm spicy",unisex,older_twenty_five,"vanilla,dry,musk,berry,almond"
Royal-Crown,Musk Ubar Royal Crown for men,"balsamic,woody,amber,warm spicy,sweet,aromatic,",male,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Liz-Claiborne,Curve Connect for Men Liz Claiborne for men,"balsamic,woody,aromatic,warm spicy,powdery",male,older_twenty_five,"vanilla,dry,musk,berry,almond"
Ava-Luxe,Biba Ava Luxe for women and men,"balsamic,woody,fresh spicy,warm spicy,patchouli,smoky",unisex,older_twenty_five,"phenolic,chemical,leather,dry,vanilla"
Moresque,Sandal Granada Moresque for women and men,"balsamic,woody,honey,leather,powdery,",unisex,older_twenty_five,"vanilla,berry,animalic,phenolic,dry"
Bud-Parfums,Wild Dragons Blood Bud Parfums for women and men,"balsamic,woody,musky,amber,earthy,warm spicy",unisex,older_twenty_five,"musk,cacao,berry,whiteflower,blackcurrant"
Agua-de-Baleares,Ibiza Man Agua de Baleares for men,"balsamic,woody,oud,musky,rose,fruity",male,older_twenty_five,"cacao,berry,whiteflower,blackcurrant,anisic"
Aveda,Chakra 1 Motivation Aveda for women and men,"balsamic,woody,patchouli,earthy,smoky,",unisex,older_twenty_five,"phenolic,musk,leather,chemical,dry"
